,ID,HIP,TYC,UCAC,2MASS,SDSS,Objtype,Kepflag,StpropFlag,RA,DEC,pmRA,e_pmRA,pmDEC,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Kp,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Rad,e_Rad,Mass,e_Mass,rho,e_rho,Lum,e_Lum,d,e_d,E(B-V),NOMAD,Mflg,prox,umag0,Jmag0,Kmag0,rmag0,gmag0,Hmag0
70727,228754128,,,,12431807-0844277,6121-301-4-0104-0271,STAR,gri,,190.825292,-8.741042,2.0,3.0,-7.0,3.0,,,,,,,20.93,0.09300000000000001,18.247,0.006999999999999999,16.889,0.005,16.3,0.005,15.979000000000001,0.008,14.814,0.028999999999999998,14.047,0.044000000000000004,13.918,0.071,,,,,,,,,16.884,,,,,,,,,,,,,,,,,0.02859,,AAA-222-111-000-0-0,41.8,20.80880699,14.79332943,13.909137099999999,16.82367185,18.15256723,14.0338486
71624,228755025,,,,12233883-0842005,,STAR,JHK,,185.911814,-8.700144,,,,,,,,,,,,,,,,,,,,,14.6,0.039,13.828,0.031,13.573,0.043,,,,,,,,,17.021,,,,,,,,,,,,,,,,,0.02582,0812-0249444,AAA-222-111-000-0-0,20.8,,14.581332139999999,13.5649958,,,13.816122799999999
72087,228755488,,,407-054819,12243719-0840437,,STAR,gri,,186.154945,-8.678821000000001,-7.6,3.5,2.5,4.1,,,18.012999999999998,0.23,16.543,0.07,,,17.36,0.08,15.95,0.05,15.350999999999999,0.10400000000000001,,,13.931,0.032,13.116,0.03,12.972999999999999,0.03,,,,,,,,,15.954,,,,,,,,,,,,,,,,,0.02856,,AAA-222-111-000-0-0,28.0,,13.91035112,12.964146399999999,15.8847404,17.26566632,13.1028624
75136,228758537,,,,12204563-0832474,,STAR,JHK,,185.19014199999998,-8.546510000000001,,,,,,,,,,,,,,,,,,,,,14.472000000000001,0.03,13.75,0.025,13.501,0.039,,,,,,,,,16.998,,,,,,,,,,,,,,,,,0.02271,0814-0250075,AAA-222-111-000-0-0,99.2,,14.455580670000002,13.4939599,,,13.7395534
77932,228761333,,,,12443968-0825174,6121-301-3-0106-0276,STAR,gri,,191.165352,-8.42152,-5.0,3.0,-7.0,3.0,,,,,,,21.024,0.09300000000000001,18.202,0.006999999999999999,16.939,0.005,16.382,0.005,16.043,0.008,14.91,0.039,14.18,0.045,13.904000000000002,0.066,,,,,,,,,16.928,,,,,,,,,,,,,,,,,0.02416,,AAA-222-111-000-0-0,33.1,20.92158576,14.89253232,13.896510400000002,16.8837944,18.122199520000002,14.1688864
81169,228764570,,,,12191239-0816533,,STAR,JHK,,184.80163000000002,-8.281496,,,,,,,,,,,,,,,,,,,,,14.883,0.034,14.139000000000001,0.037000000000000005,13.939,0.054000000000000006,,,,,,,,,17.367,,,,,,,,,,,,,,,,,0.01396,0817-0279120,AAA-222-111-000-0-0,29.0,,14.872906919999998,13.9346724,,,14.132578400000002
81322,228764723,,,409-054224,12222784-0816298,,STAR,JHK,,185.615972,-8.274965,-8.1,4.3,-0.8,2.6,,,,,,,,,,,,,,,,,13.385,0.027000000000000003,12.539000000000001,0.022000000000000002,12.335,0.027000000000000003,,,,,,,,,15.868,,,,,,,,,,,,,,,,,0.03294,,AAA-222-111-000-0-0,18.4,,13.36118438,12.324788600000002,,,12.523847600000002
83776,228767177,,,,12142022-0810046,,STAR,JHK,,183.584253,-8.167957000000001,,,,,,,,,,,,,,,,,,,,,14.985999999999999,0.08199999999999999,14.227,0.087,13.909,0.106,,,,,,,,,17.545,,,,,,,,,,,,,,,,,0.01767,0818-0286784,AAA-222-111-000-0-0,51.1,,14.97322459,13.9035223,,,14.2188718
84724,228768125,,,,12320840-0807412,,STAR,JHK,,188.035023,-8.128114,,,,,,,,,,,,,,,,,,,,,14.700999999999999,0.096,13.984000000000002,0.115,13.71,0.1,,,,,,,,,17.244,,,,,,,,,,,,,,,,,0.0177,0818-0291746,ABA-222-111-000-0-0,22.8,,14.688202899999999,13.704513,,,13.975858000000002
90465,228773866,,,,12413543-0752553,6121-301-5-0109-0205,STAR,gri,,190.397653,-7.882032000000001,5.0,3.0,5.0,3.0,,,,,,,20.853,0.079,18.149,0.006999999999999999,16.827,0.005,16.227999999999998,0.005,15.897,0.006999999999999999,14.819,0.039,14.08,0.042,13.807,0.055,,,,,,,,,16.804000000000002,,,,,,,,,,,,,,,,,0.02014,,AAA-222-111-000-0-0,37.4,20.767626540000002,14.804438780000002,13.8007566,16.7809801,18.082477580000003,14.0707356
92470,228775871,,,,12184046-0747453,,STAR,JHK,,184.66861200000002,-7.795942999999999,,,,,,,,,,,,,,,,,,,,,14.888,0.039,14.149000000000001,0.035,13.947000000000001,0.054000000000000006,,,,,,,,,17.366,,,,,,,,,,,,,,,,,0.01643,0822-0303605,AAA-222-111-000-0-0,35.2,,14.87612111,13.9419067,,,14.1414422
93098,228776499,,,,12163469-0746203,,STAR,JHK,,184.144547,-7.7723070000000005,,,,,,,,,,,,,,,,,,,,,14.759,0.042,13.99,0.04,13.767999999999999,0.055,,,,,,,,,17.088,,,,,,,,,,,,,,,,,0.02542,0822-0303170,AAA-222-111-000-0-0,32.0,,14.74062134,13.760119799999998,,,13.9783068
95061,228778462,,,,12054616-0741141,,STAR,J,,181.44236899999999,-7.687263000000001,,,,,,,,,,,,,,,,,,,,,14.831,0.077,14.106,0.09,13.783,0.077,,,,,,,,,16.238,,,,,,,,,,,,,,,,,0.01587,0823-0299321,AAA-222-111-000-0-0,36.0,,14.819525989999999,13.7780803,,,14.0986998
97256,228780657,,,,12323079-0735201,,STAR,J,,188.128305,-7.588928999999999,6.0,0.0,-8.0,4.0,,,,,,,,,,,,,,,,,14.569,0.035,13.838,0.037000000000000005,13.543,0.044000000000000004,,,,,,,,,15.955,,,,,,,,,,,,,,,,,0.01372,0824-0303260,AAA-222-111-000-0-0,30.9,,14.55908044,13.538746799999998,,,13.831688799999998
101050,228784451,,,413-056032,12004916-0725338,,STAR,gri,,180.204858,-7.4261029999999995,-2.4,3.9,-2.3,3.4,,,17.437,0.11,15.652999999999999,0.057,,,16.5,0.02,15.145,0.02,14.453,0.08,,,13.380999999999998,0.03,12.616,0.025,12.485,0.03,,,,,,,,,15.067,,,,,,,,,,,,,,,,,0.01113,,AAA-222-111-000-0-0,8.3,,13.372953009999998,12.481549699999999,15.11956795,16.46323761,12.6108802
102090,228785491,,,,12260252-0722595,,STAR,JHK,,186.510539,-7.383215,,,,,,,,,,,,,,,,,,,,,14.610999999999999,0.034,13.876,0.040999999999999995,13.655999999999999,0.054000000000000006,,,,,,,,,17.115,,,,,,,,,,,,,,,,,0.01617,0826-0306176,AAA-222-111-000-0-0,15.3,,14.599309089999998,13.650987299999999,,,13.8685618
102888,228786289,,,,12335669-0720522,,STAR,JHK,,188.486232,-7.3478580000000004,,,,,,,,,,,,,,,,,,,,,14.64,0.04,13.888,0.036000000000000004,13.605,0.055999999999999994,,,,,,,,,17.083,,,,,,,,,,,,,,,,,0.0225,0826-0309079,AAA-222-111-000-0-0,53.2,,14.623732500000001,13.598025,,,13.87765
103450,228786851,,,,12422796-0719306,6005-301-5-0114-0226,STAR,gri,,190.61651,-7.32517,-7.0,3.0,8.0,3.0,,,,,,,21.381999999999998,0.092,18.883,0.009000000000000001,17.458,0.006,16.482,0.005,15.959000000000001,0.006999999999999999,14.67,0.039,13.885,0.033,13.743,0.051,,,,,,,,,17.202,,,,,,,,,,,,,,,,,0.02091,,AAA-222-111-000-0-0,41.9,21.293362509999998,14.65488207,13.7365179,17.41022065,18.81393427,13.8753814
104958,228788359,,,,11583988-0715399,,STAR,JHK,,179.666198,-7.261102,8.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,14.979000000000001,0.073,14.198,0.075,13.882,0.076,,,,,,,,,17.596,,,,,,,,,,,,,,,,,0.02109,0827-0303900,AAA-222-111-000-0-0,63.3,,14.96375193,13.8754621,,,14.1882986
105636,228789037,,,414-054770,12384861-0714029,,STAR,JHK,,189.702478,-7.234083999999999,0.3,5.4,-4.7,5.4,,,,,,,,,,,,,,,,,13.83,0.036000000000000004,13.062999999999999,0.031,12.93,0.035,,,,,,,,,15.949000000000002,,,,,,,,,,,,,,,,,0.0168,,AAA-222-111-000-0-0,15.8,,13.8178536,12.924792,,,13.055271999999999
108187,228791588,,,415-056535,12534827-0707451,,STAR,gri,,193.451165,-7.1291649999999995,-1.8,2.9,-1.6,3.7,,,,,16.662,0.086,,,17.487000000000002,0.083,16.262999999999998,0.08199999999999999,15.886,0.22,,,14.427999999999999,0.027999999999999997,13.640999999999998,0.033,13.606,0.055999999999999994,,,,,,,,,16.366,,,,,,,,,,,,,,,,,0.0213,,AAA-222-111-000-0-0,28.3,,14.412600099999999,13.599397,16.214329499999998,17.4166461,13.631201999999998
111973,228795374,,,,12172254-0658413,,STAR,JHK,,184.34393500000002,-6.978149,,,,,,,,,,,,,,,,,,,,,14.338,0.067,13.58,0.085,13.255999999999998,0.06,,,,,,,,,16.910999999999998,,,,,,,,,,,,,,,,,0.02195,0830-0289075,AAA-222-111-000-0-0,55.8,,14.32213015,13.249195499999999,,,13.569903
