#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,teffadop,fehadop,loggadop,ELODIERVFINAL,ELODIERVFINALerr,snr,flag
13.5941912866871,-0.969012082217875,18.90371,17.74709,17.23972,17.04317,16.93039,5443.78,-1.936395,3.156907,92.30209,2.923292,39.23087,nnngn
10.8951679770147,0.84107178573931,17.47176,16.01756,15.47444,15.29549,15.19344,5505.217,-0.3725255,4.449269,-36.49551,1.324693,47.67453,nnnnn
11.1613873817039,0.661828982941411,18.00315,16.8777,16.34681,16.14951,16.0184,5452.561,-1.9884,3.000564,-120.3106,2.74485,38.67994,nnnnn
10.1544545897195,0.807529218966479,18.22689,17.14985,16.70974,16.52319,16.43135,5694.966,-1.358998,3.699556,-64.73247,2.648531,32.56549,nnngn
10.0136709646511,0.714933978750518,19.10046,17.78593,17.33007,17.1604,17.05718,5503.129,-0.6697499,4.341177,-66.13311,2.395238,23.87687,nnnnn
11.853185840034,0.478708246620246,18.95428,17.771,17.38373,17.23239,17.18035,5839.075,-0.822782,3.734831,-85.96875,1.996974,39.15868,nnnnn
12.9030036779281,0.679732704822508,19.154,17.93058,17.39416,17.19647,17.04901,5317.629,-1.737363,4.433945,-245.1507,2.269011,40.21228,nnngn
14.5109451927112,-0.704242866050055,18.32171,17.21354,16.70757,16.49649,16.39312,5410.855,-1.954571,2.870491,81.4207,1.782011,68.58476,nnngn
12.6496895216025,-1.25186503986664,19.55296,18.6589,18.2024,18.12287,17.93252,5900.222,-2.092696,3.750271,-381.5404,5.101833,23.89758,nnnnn
19.4491156129832,8.46087827529323,19.30846,18.29362,17.84319,17.68592,17.63345,5938.669,-0.8961235,4.065555,-251.6966,1.886337,40.54656,nnnnn
20.2321514870557,6.621448883237,19.26537,17.99915,17.47558,17.23638,17.07283,5546.847,-0.8737168,4.511518,49.21753,1.537958,43.57169,nnnnn
15.0508285509647,0.92057962686798,17.8731,16.63083,16.1581,15.98025,15.91459,5691.313,-0.6166401,4.348801,-31.35148,0.9694715,83.26619,nnnnn
12.9423135169114,-0.666722922630536,19.42963,18.08535,17.51558,17.30903,17.16239,5379.448,-1.059023,3.57022,-86.29275,2.292216,36.59056,nnngn
11.1569746051448,0.243177309469787,17.96523,16.4671,15.86397,15.65034,15.52165,5355.333,-0.5128011,4.508448,-8.712961,1.07637,42.94988,nnnnn
18.3066076489438,7.41630645437391,19.68402,18.46846,17.96903,17.79542,17.67817,5839.12,-0.5474232,4.05302,-9.662147,1.859265,35.57047,nnnnn
12.8735545988525,0.586667000446198,19.75385,18.5535,18.03811,17.82548,17.72921,5373.677,-1.235287,4.360131,-122.9632,1.956044,28.32719,nnngn
13.7800504021942,0.516328846845039,19.07152,17.71807,17.18375,16.98187,16.86268,5382.097,-0.8898655,4.347337,47.48837,1.093482,57.40014,nnnnn
13.7551557961226,0.730929556838841,18.66752,17.51353,17.14976,17.00459,17.03005,5942.311,-0.6910114,4.238625,32.71899,1.462933,46.03339,nnnnn
14.8865633987747,0.849519782809312,19.27211,18.03451,17.48553,17.26543,17.1114,5218.014,-2.486905,1.992705,-170.7217,2.818924,49.71409,nnnnn
18.1553538753325,7.57482295937651,19.06651,17.8111,17.23551,17.02614,16.83142,5328.604,-2.02832,2.641433,-63.6242,1.977909,53.88611,nnnnn
19.1534916272701,6.29550627600443,18.04325,17.08178,16.63775,16.51578,16.44435,5974.22,-1.17607,4.139491,-43.65813,1.369729,65.56776,nCngn
21.9824751028194,0.127666604035922,17.23507,16.03637,15.64457,15.49564,15.51948,5940.539,-0.3905563,4.089357,-20.08649,1.148252,54.18478,nnnnn
11.0921821633476,-1.03807601696505,17.19611,15.95993,15.49141,15.35405,15.30809,5942.403,-0.2840467,3.945302,-44.49622,1.231788,54.46922,nnnnn
11.7987250079586,0.553438878655212,17.54107,15.86483,16.45997,15.10142,14.97015,5451.602,0.05673775,4.186344,-14.44717,0.8850384,55.87144,nnnnn
14.8253210075046,0.945869243460448,18.29484,17.16307,16.68015,16.50901,16.40229,5665.222,-1.002406,4.367327,71.42101,1.841735,37.89461,nnngn
9.63938695010557,-1.03764467025564,18.79208,17.30338,16.71379,16.49094,16.35777,5260.502,-0.7847921,4.576912,14.97668,1.728968,34.4791,nnnnn
17.9728729879773,0.906268190516076,19.12993,18.06939,17.62054,17.46892,17.385,5855.068,-1.56429,4.499827,-206.8069,3.799031,23.91055,nnnnn
21.3245366814975,8.20256982329892,19.86388,18.75346,18.31655,18.14072,18.02017,5923.014,-0.6755022,3.966028,-104.935,2.51912,27.50664,nnnnn
18.3094991132199,0.179577494998196,20.49614,19.21792,18.6702,18.43613,18.24966,5236.472,-1.028713,2.795202,-152.2574,3.715636,20.53131,nnngn
17.9055887490298,0.0508366619362442,20.87143,19.21908,18.57202,18.33612,18.17083,5243.332,-0.6315426,4.521031,30.86015,2.418195,21.83653,nnnnn
12.1526900985666,0.121947928351911,18.41881,17.28062,16.8495,16.67476,16.63897,5725.431,-0.866012,3.930085,-163.907,2.301552,30.64458,nnnnn
12.6786830162701,0.658628258638505,19.14755,17.52608,16.90912,16.73487,16.6198,5384.52,-0.1689182,4.293633,10.34799,1.350142,30.46145,nnnnn
21.7960553040665,8.10017864353896,19.79996,18.76634,18.30423,18.10475,18.00483,5649.898,-1.737799,4.23423,-319.701,3.63675,26.60071,nnnGn
16.5741467945452,-1.04646435241117,20.39178,18.91831,18.33398,18.08545,17.95839,5330.808,-1.025481,4.579131,-9.060762,2.29749,25.28733,nnBGn
17.4276833165654,0.0125357891362304,19.92037,18.31427,17.92555,17.73205,17.55348,5233.536,-0.9293936,4.244292,-74.07909,2.129,28.70004,nnnnn
19.2750456209789,-0.862638267242898,20.06583,18.50567,17.95533,17.73943,17.63615,5286.52,-0.8670748,4.642015,50.11799,2.671799,20.06791,nnBnn
17.6312772408869,0.808483633811024,20.51228,19.01744,18.38448,18.18753,18.06356,5274.613,-0.9292623,2.792599,-173.9732,2.607191,24.86586,nnnnn
20.35456050811,7.9327563445404,20.37041,18.89299,18.31821,18.04354,17.91482,5332.759,-1.244594,2.944288,-201.6003,3.279119,23.75139,nnngn
18.6641652382002,-0.187252207889579,19.04863,17.84113,17.38339,17.2116,17.17029,5773.143,-0.7902917,4.329697,-4.90995,2.445797,27.75527,nnnnn
22.5719114655899,7.32683631299683,20.30687,18.80218,18.25023,17.99131,17.88298,5366.011,-0.7302926,4.47852,-98.19502,1.918877,27.11911,nnnnn
22.3513206952571,6.8212689353173,19.70254,18.72062,18.25733,18.09664,18.00719,5791.133,-2.185851,4.126379,36.03603,4.574016,23.55263,nnnnn
22.0081101266227,0.736717390445353,18.33559,16.90458,16.42075,16.24294,16.17668,5696.476,-0.1172819,3.930577,-43.01766,1.255253,43.81221,nnnnn
15.8081323071196,0.469745909138398,17.55178,16.17047,15.70134,15.57641,15.51598,5816.408,-0.1016457,4.085758,-17.85272,1.191799,42.37636,nnnnn
14.4064610188578,0.439884836857516,17.87147,16.57763,16.13323,15.94338,16.35736,5793.355,-0.3951515,4.311224,0.1676992,1.312911,45.73156,nnnnn
15.7179046335825,0.748288072004216,19.36502,18.13837,17.62427,17.45669,17.38712,5684.016,-0.4268606,3.987329,-33.80496,3.067667,20.25135,nnnnn
15.6017738290341,0.0944355082506553,17.79024,16.43949,15.91333,15.69466,15.63908,5536.162,-0.7278242,4.462988,36.62393,1.135038,49.29758,nnnnn
18.6379546784884,0.0208487475832224,18.60975,17.37237,16.9113,16.7371,16.68202,5756.164,-0.8293818,4.262238,83.57359,2.05897,31.36495,nnnnn
