,ID,HIP,TYC,UCAC,2MASS,SDSS,Objtype,Kepflag,StpropFlag,RA,DEC,pmRA,e_pmRA,pmDEC,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Kp,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H],Rad,e_Rad,Mass,e_Mass,rho,e_rho,Lum,e_Lum,d,e_d,E(B-V),NOMAD,Mflg,prox,umag0,Jmag0,Kmag0,rmag0,gmag0,Hmag0
102943,220218917,,,454-001874,01324893+0040164,,STAR,JHK,,23.203910999999998,0.671253,1.2,2.8,-4.5,3.1,,,,,,,,,,,,,,,,,13.145999999999999,0.026000000000000002,12.323,0.025,12.162,0.024,,,,,,,,,15.458,,,,,,,,,,,,,,,,,0.02203,,AAA-222-111-000-0-0,101.3,,13.13007231,12.155170700000001,,,12.3128662
103869,220219843,,,,00434277+0042068,,STAR,JHK,,10.928232000000001,0.701915,,,,,,,,,,,,,,,,,,,,,13.27,0.032,12.54,0.032,12.305,0.02,,,,,,,,,15.789000000000001,,,,,,,,,,,,,,,,,0.0199,0907-0008361,AAA-222-111-000-0-0,14.7,,13.2556123,12.298831,,,12.530845999999999
104836,220220810,,,454-001219,00565477+0044019,,STAR,JHK,,14.228219000000001,0.733889,4.8,5.2,-6.7,5.3,,,,,,,,,,,,,,,,,14.047,0.033,13.284,0.035,13.085999999999999,0.027999999999999997,,,,,,,,,16.303,,,,,,,,,,,,,,,,,0.01634,,AAA-222-111-000-0-0,39.0,,14.03518618,13.080934599999999,,,13.2764836
110295,220226269,,,455-002010,01295300+0055392,,STAR,gri,,22.47085,0.927559,-6.8,3.0,-9.0,3.7,,,16.359,0.03,14.883,0.14,,,15.661,0.05,14.289000000000001,0.08,13.762,0.09,,,12.171,0.023,11.365,0.022000000000000002,11.220999999999998,0.021,,,,,,,,,14.332,,,,,,,,,,,,,,,,,0.01791,,AAA-222-111-000-0-0,34.8,,12.158051069999999,11.2154479,14.248075650000002,15.60184327,11.3567614
111035,220227009,,,,01201734+0057169,,STAR,JHK,,20.072253,0.9546979999999999,,,,,,,,,,,,,,,,,,,,,14.120999999999999,0.028999999999999998,13.315999999999999,0.033,13.078,0.03,,,,,,,,,16.585,,,,,,,,,,,,,,,,,0.02909,0909-0014697,AAA-222-111-000-0-0,10.3,,14.099967929999998,13.0689821,,,13.302618599999999
130311,220246285,,,458-000999,00435690+0129371,7712-301-1-0403-0084,STAR,JHK,,10.987047,1.4936969999999998,,,,,,,,,,,,,,,,,,,,,13.97,0.033,13.186,0.03,13.094000000000001,0.027000000000000003,,,,,,,,,16.278,,,,,,,,,,,,,,,,,0.01906,0914-0007922,AAA-222-111-000-0-0,52.1,,13.95621962,13.088091400000001,,,13.1772324
138384,220254358,,,459-000755,00354184+0139404,,STAR,gri,,8.924325,1.661218,1.4,3.4,-3.7,3.8,,,15.699000000000002,0.04,14.174000000000001,0.13,,,14.992,0.04,13.73,0.12,13.267999999999999,0.08,,,11.817,0.026000000000000002,11.062999999999999,0.022000000000000002,10.91,0.021,,,,,,,,,13.785,,,,,,,,,,,,,,,,,0.02385,,AAA-222-111-000-0-0,56.9,,11.79975645,10.902606500000001,13.67550275,14.91322345,11.052029
141848,220257822,,,459-001650,01200378+0143511,7717-301-2-0463-0112,STAR,JHK,,20.015749,1.730853,-4.8,6.0,-1.3,6.0,,,,,,,,,,,,,,,,,13.955,0.03,13.206,0.022000000000000002,13.013,0.028999999999999998,,,,,,,,,16.435,,,,,,,,,,,,,,,,,0.0333,,AAA-222-111-000-0-0,54.0,,13.9309241,13.002677,,,13.190681999999999
146099,220262073,,,460-001900,01274932+0149248,8062-301-2-0043-0102,STAR,gri,,21.955541,1.8235970000000001,-3.2,3.5,-8.9,5.0,,,16.882,0.04,15.205,0.01,,,16.158,0.11,14.654000000000002,0.05,14.140999999999998,0.08,,,12.504000000000001,0.024,11.710999999999999,0.022000000000000002,11.577,0.021,,,,,,,,,14.745999999999999,,,,,,,,,,,,,,,,,0.02726,,AAA-222-111-000-0-0,38.7,,12.48429102,11.5685494,14.591710900000002,16.06796022,11.698460399999998
155631,220271605,,,461-001362,00585123+0201503,7712-301-2-0427-0213,STAR,gri,,14.713463,2.030617,-5.2,3.1,-9.9,3.3,,,16.608,0.18,14.703,0.24,,,15.74,0.16,14.119000000000002,0.2,13.603,0.24,,,11.882,0.024,11.068,0.025,10.847000000000001,0.021,,,,,,,,,14.244000000000002,,,,,,,,,,,,,,,,,0.01236,,AAA-222-111-000-0-0,19.9,,11.87306372,10.843168400000001,14.090757400000001,15.69917492,11.0623144
161069,220277043,,,461-001499,01050167+0208391,,STAR,BV,,16.257049,2.1442330000000003,-9.6,18.4,-2.0,18.4,,,17.711,0.16,16.744,0.08900000000000001,,,,,,,,,,,14.078,0.034,13.244000000000002,0.032,13.057,0.033,,,,,,,,,16.581,,,,,,,,,,,,,,,,,0.0227,,AAA-222-111-000-0-0,48.2,,14.0615879,13.049963,,,13.233558000000002
166363,220282337,,,462-001945,01254413+0215287,8062-301-3-0039-0214,STAR,gri,,21.433944,2.257996,2.8,18.3,6.3,18.3,,,18.026,0.145,16.761,0.09,,,17.655,0.03,16.316,0.18,15.702,0.21,,,13.957,0.027000000000000003,13.209000000000001,0.027000000000000003,13.056,0.034,,,,,,,,,16.288,,,,,,,,,,,,,,,,,0.01274,,AAA-222-111-000-0-0,37.3,,13.94778898,13.0520506,16.2868891,17.612919780000002,13.203139600000002
202609,220318583,,,466-001623,01143800+0301492,,STAR,gri,,18.658342,3.030325,1.0,1.7,-4.4,4.2,,,16.945,0.08,15.25,0.04,,,16.094,0.02,14.659,0.05,13.997,0.1,,,12.341,0.026000000000000002,11.477,0.031,11.321,0.019,,,,,,,,,14.626,,,,,,,,,,,,,,,,,0.02622,,AAA-222-111-000-0-0,50.0,,12.32204294,11.3128718,14.5990873,16.007395340000002,11.4649388
205893,220321867,,,,00402576+0306103,,STAR,JHK,,10.107372999999999,3.102862,,,,,,,,,,,,,,,,,,,,,13.745999999999999,0.026000000000000002,12.988,0.040999999999999995,12.823,0.034,,,,,,,,,15.915,,,,,,,,,,,,,,,,,0.02561,0931-0009587,AAA-222-212-ccc-0-0,4.1,,13.727483969999998,12.8150609,,,12.9762194
209944,220325918,,,466-002030,01335435+0311281,,STAR,JHK,,23.476442000000002,3.19119,-1.6,2.5,-4.1,2.7,,,,,,,,,,,,,,,,,13.8,0.027000000000000003,13.043,0.024,12.911,0.027000000000000003,,,,,,,,,15.895,,,,,,,,,,,,,,,,,0.01171,,AAA-222-111-000-0-0,49.6,,13.791533670000002,12.907369899999999,,,13.0376134
242220,220358194,,,470-002058,01305453+0351575,7718-301-1-0140-0112,STAR,gri,,22.727287,3.866003,4.1,3.1,-5.0,2.3,,,16.678,0.06,15.001,0.05,,,15.859000000000002,0.05,14.401,0.05,14.004000000000001,0.35,,,12.168,0.022000000000000002,11.335999999999999,0.024,11.193,0.019,,,,,,,,,14.56,,,,,,,,,,,,,,,,,0.01396,,AAA-222-111-000-0-0,30.5,,12.157906919999999,11.1886724,14.3691014,15.812890120000002,11.329578399999999
268676,220384650,,,473-001481,01031159+0424250,7718-301-2-0094-0102,STAR,gri,,15.798305,4.406985,-2.4,3.6,3.0,4.1,,,16.849,0.01,15.172,0.02,,,16.054000000000002,0.16,14.585,0.09,13.925,0.05,,,12.357999999999999,0.026000000000000002,11.525,0.026000000000000002,11.337,0.023,,,,,,,,,14.562999999999999,,,,,,,,,,,,,,,,,0.02377,,AAA-222-111-000-0-0,37.7,,12.340814289999999,11.329631299999999,14.530685550000001,15.975487690000001,11.514065800000001
291343,220407317,,,475-001969,01225543+0451341,7727-301-4-0204-0153,STAR,gri,,20.730992,4.859488,0.8,3.2,-5.9,3.5,,,16.337,0.08,14.675999999999998,0.01,,,15.532,0.08,14.107999999999999,0.01,13.54,0.04,,,11.889000000000001,0.024,11.062999999999999,0.024,10.899000000000001,0.026000000000000002,,,,,,,,,14.138,,,,,,,,,,,,,,,,,0.03389,,AAA-222-111-000-0-0,35.6,,11.864497530000001,10.8884941,14.03056135,15.42006133,11.0474106
301984,220417958,,,476-002213,01262862+0503573,,STAR,gri,,21.619274,5.065957,-0.2,2.7,-4.1,3.2,,,15.944,0.08,14.434000000000001,0.02,,,15.202,0.02,13.908,0.03,13.39,0.15,,,11.93,0.024,11.186,0.025,11.013,0.023,,,,,,,,,13.933,,,,,,,,,,,,,,,,,0.01974,,AAA-222-111-000-0-0,58.4,,11.91572798,11.0068806,13.8628941,15.13679878,11.1769196
323481,220439455,,,478-002286,01313890+0528454,7718-301-5-0141-0164,STAR,gri,,22.912078,5.47929,-2.6,4.3,-5.2,4.6,,,16.594,0.11,14.857999999999999,0.19,,,15.787,0.12,14.299000000000001,0.18,13.776,0.28,,,12.107999999999999,0.024,11.284,0.026000000000000002,11.094000000000001,0.021,,,,,,,,,14.379000000000001,,,,,,,,,,,,,,,,,0.02402,,AAA-222-111-000-0-0,81.8,,12.090633539999999,11.0865538,14.244114300000001,15.707661940000001,11.2729508
352186,220468160,,,481-001945,01231181+0602573,,STAR,gri,,20.799191,6.049272,-1.5,2.1,-6.2,3.5,,,16.53,0.07,15.194,0.02,,,15.877,0.03,14.787,0.03,14.322000000000001,0.06,,,12.993,0.027000000000000003,12.163,0.023,12.034,0.023,,,,,,,,,14.789000000000001,,,,,,,,,,,,,,,,,0.03069,,AAA-222-111-000-0-0,23.1,,12.97081113,12.0244861,14.71687335,15.77563093,12.1488826
367122,220483096,,,482-001741,01123334+0623111,5641-301-1-0117-0088,STAR,JHK,,18.138941,6.3864540000000005,5.6,2.7,-6.8,2.9,,,,,,,,,,,,,,,,,13.208,0.025,12.472999999999999,0.025,12.267000000000001,0.026000000000000002,,,,,,,,,15.686,,,,,,,,,,,,,,,,,0.02592,,AAA-222-111-000-0-0,9.7,,13.18925984,12.258964800000001,,,12.461076799999999
394361,220510335,,,486-001080,00464684+0700044,5641-301-2-0074-0045,STAR,JHK,,11.695172,7.001161,1.3,4.1,0.7,4.5,,,,,,,,,,,,,,,,,13.329,0.026000000000000002,12.433,0.033,12.269,0.026000000000000002,,,,,,,,,15.84,,,,,,,,,,,,,,,,,0.04931,,AAA-222-111-000-0-0,11.5,,13.29334887,12.2537139,,,12.4103174
418661,220534635,,,488-001067,00445270+0732350,,STAR,gri,,11.219677,7.543061,1.9,2.5,5.5,2.7,,,17.834,0.19,16.131,0.068,,,16.971,0.14,15.582,0.02,14.49,0.72,,,13.31,0.028999999999999998,12.55,0.03,12.38,0.024,,,,,,,,,15.235,,,,,,,,,,,,,,,,,0.06541,,AAA-222-111-000-0-0,51.5,,13.262708570000001,12.359722900000001,15.432538150000001,16.75495077,12.519911400000002
423423,220539397,,,489-002214,01370544+0739096,,STAR,gri,,24.272702,7.652734,2.3,2.7,-7.9,3.4,,,16.701,0.087,14.975999999999999,0.01,,,15.958,0.02,14.337,0.048,13.532,0.07,,,11.933,0.024,11.107999999999999,0.024,10.879000000000001,0.022000000000000002,,,,,,,,,14.259,,,,,,,,,,,,,,,,,0.02406,,AAA-222-111-000-0-0,81.0,,11.91560462,10.871541400000002,14.2820229,15.87852982,11.096932399999998
465587,220581561,,,494-002115,01305223+0837409,7767-301-1-0086-0143,STAR,gri,,22.717689,8.628079,-1.3,2.6,0.4,3.1,,,17.171,0.01,15.783,0.09,,,16.49,0.02,15.33,0.06,14.835999999999999,0.1,,,13.448,0.026000000000000002,12.66,0.026000000000000002,12.575999999999999,0.024,,,,,,,,,15.332,,,,,,,,,,,,,,,,,0.05759,,AAA-222-111-000-0-0,52.6,,13.40636243,12.5581471,15.19840685,16.29978023,12.6335086
503057,220619031,,,,01292078+0927115,7767-301-3-0083-0141,STAR,gri,,22.336616,9.453217,-5.0,2.0,-2.0,2.0,,,,,,,20.77,0.098,18.055,0.006,16.548,0.004,15.677,0.004,15.232000000000001,0.006,13.993,0.026000000000000002,13.222000000000001,0.027000000000000003,13.052,0.032,,,,,,,,,16.39,,,,,,,,,,,,,,,,,0.09346,,AAA-222-111-000-0-0,72.4,20.37382306,13.925428420000001,13.0230274,16.334443899999997,17.74630162,13.1790084
549595,220665569,,,503-000977,00380167+1033578,7784-301-5-0259-0050,STAR,BV,,9.506962,10.566092,-6.2,3.0,1.4,3.4,,,17.637,0.16,16.382,0.076,,,,,,,,,,,13.448,0.026000000000000002,12.669,0.028999999999999998,12.52,0.022000000000000002,,,,,,,,,16.143,,,,,,,,,,,,,,,,,0.105,,AAA-222-111-000-0-0,72.8,,13.372085,12.487449999999999,,,12.620700000000001
551891,220667865,,,504-001845,01110894+1037139,7784-301-6-0313-0140,STAR,gri,,17.787322,10.620599,2.7,2.9,1.3,2.8,,,17.25,0.106,15.954,0.064,,,16.86,0.06,15.335999999999999,0.05,14.587,0.3,,,12.894,0.022000000000000002,12.039000000000001,0.023,11.874,0.027999999999999997,,,,,,,,,15.269,,,,,,,,,,,,,,,,,0.04642,,AAA-222-111-000-0-0,77.7,,12.86043834,11.859609800000001,15.229930299999998,16.70667474,12.017646800000001
571231,220687205,,,506-001727,01063007+1107100,7787-301-1-0310-0153,STAR,gri,,16.625296,11.119444999999999,-5.4,3.4,-5.9,4.0,,,16.982,0.096,15.140999999999998,0.047,,,15.98,0.08,14.56,0.04,13.805,0.05,,,11.812999999999999,0.023,10.966,0.025,10.752,0.021,,,,,,,,,14.457,,,,,,,,,,,,,,,,,0.06442,,AAA-222-111-000-0-0,14.6,,11.766424339999999,10.732029800000001,14.4128003,15.76722074,10.9363668
579637,220695611,,,507-002116,01273486+1121072,7773-301-2-0453-0170,STAR,gri,,21.895317000000002,11.351986,4.6,3.4,2.0,5.1,,,17.997,0.1,16.489,0.13,,,17.121,0.07,15.869000000000002,0.03,15.044,0.1,,,13.312000000000001,0.026000000000000002,12.533,0.022000000000000002,12.415999999999999,0.028999999999999998,,,,,,,,,15.667,,,,,,,,,,,,,,,,,0.07004,,AAA-222-111-000-0-0,30.2,,13.26136108,12.394287599999998,15.7089586,16.889657879999998,12.5007816
579844,220695818,,,507-002035,01242899+1121281,7787-301-2-0340-0195,STAR,gri,,21.120857,11.357769000000001,-2.4,4.3,2.4,3.6,,,16.792,0.04,15.344000000000001,0.01,,,16.090999999999998,0.03,14.790999999999999,0.04,14.220999999999998,0.02,,,12.639000000000001,0.023,11.827,0.024,11.710999999999999,0.024,,,,,,,,,14.782,,,,,,,,,,,,,,,,,0.05916,,AAA-222-111-000-0-0,40.7,,12.59622732,11.6926604,14.655819399999999,15.895594519999998,11.7997864
597382,220713356,,,510-002046,01221106+1151070,,STAR,gri,,20.546064,11.851963,7.6,4.6,-1.6,3.9,,,16.276,0.02,14.759,0.05,,,15.57,0.04,14.213,0.03,13.642000000000001,0.13,,,12.16,0.024,11.345,0.022000000000000002,11.175999999999998,0.023,,,,,,,,,14.22,,,,,,,,,,,,,,,,,0.06131,,AAA-222-111-000-0-0,8.6,,12.115672870000001,11.156993899999998,14.072906649999998,15.36749307,11.3167974
616029,220732003,,,513-002127,01193029+1226321,7773-301-4-0440-0206,STAR,JHK,,19.876191,12.442267,0.8,4.9,-4.6,3.2,,,,,,,,,,,,,,,,,13.519,0.025,12.751,0.025,12.597999999999999,0.027999999999999997,,,,,,,,,15.684000000000001,,,,,,,,,,,,,,,,,0.04802,,AAA-222-111-000-0-0,18.9,,13.48428154,12.5831138,,,12.7289108
