#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,teffadop,fehadop,loggadop,ELODIERVFINAL,ELODIERVFINALerr,snr,flag
21.1643809535499,7.961638113535,19.81211,18.84364,18.54787,18.40371,18.41846,6388.196,-1.539165,3.128474,-19.36901,5.842151,20.8716,nnnnn
10.5518492974528,-0.714322946885475,18.32554,17.23746,16.96352,16.8601,16.83719,6803.245,-2.344298,2.406772,26.25965,3.412724,33.74493,nnnnn
10.7024560305642,-0.909172997795954,18.67145,17.73939,17.40397,17.29773,17.2926,6235.102,-0.9924907,3.594115,1.162573,4.005184,24.30268,nnnnn
17.107952190301,-0.684440013780776,17.02518,15.85353,15.47289,15.36029,15.31432,6121.151,-0.4188589,3.86442,-6.002081,1.360155,53.54251,nnnnn
9.97999563989674,6.43025998253929,16.14577,15.12378,14.84339,14.68081,14.61082,6247.543,-0.5849748,4.181728,-3.991965,1.255215,64.22689,nnnnn
10.1733257488837,8.03933933259156,17.77427,16.74898,16.32469,16.16895,16.07675,6099.935,-1.615129,4.153477,-174.08,2.354583,48.65488,nnngn
17.2304997813631,0.686122850632095,17.79153,16.81541,16.63726,16.56849,16.56859,6840.736,-1.665664,4.036253,66.13327,3.308653,36.18507,nnnnn
16.1971388304784,0.230754538641943,18.09758,16.99683,16.61423,16.50488,16.44932,6099.678,-0.7118242,3.920233,-76.9215,2.202454,35.28814,nnnnn
20.5908625547121,6.03080121409975,17.15998,16.23193,15.93691,15.82586,15.7979,6432.499,-2.222283,3.84367,-60.4015,2.639948,47.7415,nnnnn
21.1697672899376,6.55935962776125,15.74198,14.81884,14.46263,14.32565,14.28016,6154.771,-1.332146,4.188512,-40.14778,1.408809,66.38113,nnnnn
21.3911196935437,6.28287535429829,18.50272,17.60599,17.2099,17.07147,17.00932,6072.188,-1.436157,4.226892,-268.2932,4.377625,25.98338,nnnnn
13.275338826668,-1.04524076617534,19.74275,18.72768,18.40192,18.22225,18.1491,6071.16,-1.133922,4.031026,8.333839,3.964061,22.32473,nnnnn
15.6918506207472,0.646483382083287,19.02978,18.06381,17.77861,17.6711,17.63156,6355.583,-1.434714,4.036657,-34.73611,2.428291,45.6549,nnnnn
14.6628001901617,-0.828918677973023,17.27836,16.28553,15.89521,15.79043,15.73935,6092.928,-0.9729565,4.035472,-17.4081,1.099181,84.91595,nnnnn
12.0521656406024,-0.223316708873438,19.47128,18.55717,18.21792,18.06057,18.04071,6080.232,-1.371608,4.232401,-44.24916,4.71948,22.40093,nnnnn
13.4901659310013,0.680292562668971,19.81207,18.86574,18.53818,18.40587,18.38914,6064.687,-1.405275,4.053891,-130.9977,4.680464,21.57734,nnnnn
14.0312346481465,-0.943305841080303,20.12001,19.16241,18.82035,18.71024,18.71319,6087.353,-1.157215,3.983279,-12.67991,4.204411,21.5502,nnnnn
